,review,sentiments
59,"Sangat buruk , Terutama Kolam renang nya    , Awalnya biasa aja , cuma tiba² ada salah satu staf atau CS datang dan berdiri menunggu para pengunjung untuk renang , Dan karna kita risih , kita tanya , Renang Ny di waktu gk a ? , trus dia …",negatif
60,Tempat gym harus bayar begitupu  masuk kolam renang harus bayar.. Kirain fasilitas hotel swlimutnya berwarna begitupun sperinyaasih mending redors apa oyo pokonya g recomend deh,positif
61,Kamarnya bagus bersih. Sayang lagi direhab. Jadi kolam renangnya tdk bisa dipakai,positif
62,"Kalau bisa memberikan rating tanpa bintang mungkin saya berikan tanpa bintang.

1.Pintu Kamar mandi tidak bisa di kunci untuk kamar 206 , …",negatif
63,Ini tempat lagi di renov jadi banyak tukang dan jejak jejak perbaikan. Paling murah diantara yg lain dan kl kesini sarapan sudah termasuk untuk anak2 y jadi g ragu ngajak anak. Catatan buat yg kesini kl kolam di kuras tiap senin dan renang g termasuk biaya kamar jadi nambah 15rb/org.,positif
64,"Tempatnya nyaman, bagus, bersih, dan lobi utama luas. Disini kadang diadakan event seperti sertifikasi MUA.
Karyawannya ramah, dan bagian indoor nyaman untuk dilihat, lokasi dipinggir jalan langsung keliatan.",positif
65,"hotelnya kotor dan tidak sesuai ekspektasi untuk room rate diatas 300 k dan tidak nyaman... sy pikir hanya lobby nya saja berdebu tp semua area  berdebu, corridor lt 3 menuju kamar bau tidak sedap.. kamar mandi kotor seprai juga tidak baru …",negatif
66,"Setiap kali ke tasik, selalu menginap di city hotel, pelayanan ramah, kamar bersih, makanannya juga enak enak",positif
67,"Saat Hujan ruang tengah Hotel deket ruang makan,kemasukan air hujan terlihat petugas sibuk mengeringkan lantai.
Saat berbarengan kamar juga ikut kemasukan air dari jendela, dari plafon hingga …",positif
68,Udah 2 thn berlangganan hampir tiap bulan tapi sampe sekarang wifi masih jelek tidak sampe ke kamar. Kolam renang tamu tetap bayar lagi kalau mandi. Tetap berlangganan kesitu karena emg cuma di city budget 300 masuk. 🙄 …,negatif
69,"Kalo lagi peak season, nginep disini. Murah harganya. Andai kebersihan lbh di tingkatkan, bisa banyak tamu. Strategis tempatnya",positif
70,"Saya bayar ditempat cash 350rb (daring cuma 246rb) standar room tapi fasilitas kurang joss...
Air panas untuk mandi aktif cuma bentar …",positif
71,"Hotel tua, saya rasa harus lebih dirawat lagi. Saya mendapat kamar yg temboknya retak cukup parah, flush toilet juga tidak berfungsi. Kamar tidak kedap suara, bisa denger orang2 lari atau teriak2 di lorong. Menu sarapan tidak terlalu …",negatif
72,"BANYAK + DAN - NYA DI HOTEL INI

lokasi nya deket dengan stasiun tasikmalaya cuma 5 menit sudah sampai …",positif
73,"Harganya sesuai dengan kualitas.. Cukup pakai traveloka atau pegipegi... Kadang suka promo dan murmer.  Sekarang sdh jauh lebih baik,  selimut nya hangat,  keset kamar mandi menyerap air,  air hangat OK.  Kelemahan,  telpon ruangan tidak …",positif
74,"Menginap di sini karena kemalaman jadi udah malas cari yg lain. Dengan rate 350K tanpa aplikasi. Langsung book di tempat. Kami ambil yg standard room. Double bed. Kamarnya lumayan gede, toiletnya pun luas. Belum masuk kamar kita lihat …",positif
75,"Lumayan enak tempatnya, bersih",positif
76,"Pengalaman  selama mencari hotel. Dan ini yg paling buruk. Bnyak minus nya. Pegawai,penanganannya, satpamnya. Kamarnya. Kamar mndi dimana air nya ga layak pakai masa hotel air nya kaya air cubluk sih bahkan lebih dari itu udah bau kaya air …",negatif
77,Hotelnya bersih kamarnya nyaman staff ny ramah lokasi tengah kota 😍 apalagi kalo ditemenin sama si papah yang minum vitamale obat kuat paling tokcer bisa bikin on semaleman 😍 minat wa 081286588907 …,positif
78,"Worthed banget untuk hotel bintang 3 dengan price segitu (booking jauh2 hari).
Lobby nya nice, suasananya juga.
Kamarnya nyaman, door lock nya pake kartu, jd gak bikin ribet 👍 …",positif
79,"Entah karena cuma saya pribadi yang dapat kamar yang kurang menyenangkan. Lampu tidur rusak, water heater hanya jalan 10 menit saja sisanya air dingin, sarapan hanya 4 jenis makanan saja (nasi goreng, roti, gudeg, daging), kolam renang sedang dikuras.",negatif
80,"Masa sprei hotel watna hijau. Jelek banget.
Kmar ga bersih dan agak bau.
Management gak ramah.",negatif
81,"Pertama saya nginep disini,,dan sekali nyoba gak mau lagi,,kamarnya bau apek bantal2nya juga,,spre juga kusut,,exsospen brisik banget,susah tidur jadinya,,untuk pelayananya sedang,,cuma saya rasa k mahaln untk hrga 350 kamar apek gituh,,skarang sih lagi ngebangun lagi gak tau tuh kdepanya gimna,,smoga bisa di perbaiki lagi",negatif
82,"Menurut saya, ini adalah pengalaman yang kurang baik disini.
Tidak sesuai ekspektasi, atau mungkin harga sesuai dengan kualitas.
Kamar agak kotor, lantai masih banyak debu dan kotor kerikil serta sampah …",negatif
83,"Booking di agoda hanya tersedia junior suite room.
Plus poin : dapat harga promo 1/2 dari price list, kamar nya luas, dua kali kamar standar, ada sofabed nya juga, kasur nya nyaman, lokasi di pusat kota, dekat …",positif
84,"Pemilik hotel sepertinya terlalu berhemat, sehingga Fasilitasnya buruk sekali !!
- Tidak ada shower air panas (alasannya pakai tenaga surya, jd tidak begitu …",negatif
85,Saya booking via agoda.com. status di agoda sudah paid. Tp di resepsionis masi di minta bukti pembayaran. Trus buat apa pake aplikasi kalo masi harus ribet ngintip mutasi rekening tamu? Pembayaran di agoda sudah include dengan pajak. Tp di …,negatif
86,"Lumayan sih, tp kamarnya masih agak kotor, dikasur masih banyak rambut bekas yg nginap sblmnya. Terus pas lewat juga ada pegawainya lg tduran dikasur yg dia lg bersihin . Haduhhhh ditingkatkan kmbali ya kebersihannya..",positif
87,"Desain tempatnya keren dan parkiran luas, namun untuk beberapa fasilitas misal wifi dikamar tertentu tidak bisa dapat diakses. Untuk fasilitas gelas dan perlengkapan mandi baiknya dicek. Utk kamar kapasitas dua orang harusnya sesuai (jumlahnya harus 2 paket)",positif
88,"Ini hotel lagi renovasi kecil kecilan, fasilitasnya udah pada buruk... Cocoknya renov total.  Tapi dari segi desain pun hotel ini kurang bagus jika dibandingkan dengan hotel yg lain di harga 300 an.
Kita cuma coba sehari karena udah beli dari online.",negatif
89,"Maaf neh. Klo menurut saya dengan rate kamar seharga itu tp fasilitas sangat dibatasi (berenang bayar, Wifi cm bs diloby gk bs sampe kamar) bahkan telpon dikamar tidak ada! Hubungi resepsionis dengan telpon pribadi gaes. Keren",negatif
90,"Untuk fasilitas umum di hotel cukup lengkap, fasilitas di kamar standarnya lumayan bagus tapi kurang lengkap karena ga ada pemanas untuk air minum trs wifinya ga sampe kamar. Untuk lokasi dekat indomaret. Strategis. Kamar juga bersih n ada penanda arah kiblat. Dri stasiun ke hotel sekitar 30 menit dgn kondisi normal.",positif
91,"Lt 3 telkomsel cuma dpt 3g sinyalnya plus dsana pake WiFi area yg super duper lemot 😵 makanan enak, sop buntut rekomended lah.
Kebersihan kamar oke bgt, kamar mandi standar. Toiletries ok. Fast respond. …",positif
92,"Lokasi hotel mudah dijangkau , Kamar cukup luas hanya sayang kurang terang pencahayaannya baik lampu maupun sinar matahari.Rate wajar. Kamar mandi lampu kurang terang, grendel pintu rusak tdk diperbaiki , pemanas air untuk mandi( heater ) …",positif
93,"Pas masuk kamar langsung tercium bau rokok.
Ternyata di lobby hotel & ruang tamu dekat kamar juga disediakan tempat abu rokok. …",positif
94,"Kamar hotel kayak ngga terawat.. paling mengecewakan pas mau sarapan makanan sudah bersih, ngga ada sisa sama sekali untuk dimakan..",positif
95,"JELEK BANGET JIR, HOTEL BINTANG 3 KEK KOST KOST AN.",negatif
96,Wifi tidak sampai kamar tapi speed kencang jika dekat router.,positif
97,"Pas ksini pas lg renov, kolam renang ga bisa dipake..",positif
98,"Kamarnya cukup baik, standar untuk kelasnya. Tidak ada ketel air panas. Breakfast sudah tinggal sisa-sisa untuk jam sembilan (jadwal breakfast jam 6-10). Tapi jika bertanya maka stafnya akan menwarkan membuatkan nasi goreng. Wifi hanya di lobby dan koridor, tidak kuat di kamar.",positif
99,"Kamarnya serem, akhirnya minta ganti² kamar.
lift tidak hidup jadi harus naik tangga ke lantai 3.
Haduh ga sesuai harga",negatif
100,"Ada harga ada kualitas.mulai dr yg kurang enaknya dulu yah,,, dari luar hotelnya besar, tp begitu masuk sih biasa aja. Utk kebersihan mnrt saya kurang karena bed covernya ada noda2 yg ga bs hilang gy, handuknya jg ada bau kurang sedap, …",negatif
101,"Asyik juga hotelnya.  Kemarin pas menemani temen ke sini ikut nengok nengok fasilitas dan kondisinya  ternyata cukup bagus.
Kamar cukup leluasa untuk menginap dengan fasilitas air panas shower dst. …",positif
102,"No recomended.. Untuk ukuran hotel bintang 3 sungguh mengecewakan. Dari kamar gelap (pencahayaan kurang) irit listeik kah? , Closet kaya di kamar mandi umum (kotot dan kuning), keset yang gak menyerap air, remot ac dan tv gak berfungsi …",negatif
103,"Kamar mandi bau, lantai kena hujan, licin tidak diatasi sehingga ada tamu jatuh, tapi tidak juga diselesaikan, sarapan jam 08.30 hanya tersisa nasi putih dan nasi goreng",negatif
104,"Kamar nya tidak sesuai ekspetasi, saat pertama masuk kamar ternyata lantai kamarnya masih kotor, seharus nya kamar nya dibersihkan dulu sebelum tamu masuk ke kamar. Selain itu, hanya diberi 1 sandal, padahal kamar nya untuk 2 orang. Closet …",negatif
105,"Pelayanannya oke tapi kamar yang saya dapat aga kotor, dan air panasnya kotor",negatif
106,"Waktu itu dapat promo dari salah satu aplikasi booking tiket. Dengan harga 200++ saya dapat kamar yang cukup nyaman. Tapi: 1) kunci kamar mandi hanya dengan slot, kunci asli sudah rusak, 2) tempat sabun dan toilet jauh. Kalau pup harus …",positif
107,"Hotel bintang 3, fasilitas sesuai hargalah.  Nyaman untuk tidur, Air panas Oke, sarapan juga tersedia",positif
108,"Hotel yg cukup nyaman bersama keluarga. Ada swimming pool, dan roof top dengan pemandangan Tasik yg luar biasa. Ada beberapa yg kurang, seperti: sarapan yg terlalu ""biasa"" utk ukuran bintang 3, serta WiFi yg tidak bisa diakses di kamar. Selebihnya, hotel ini cukup recommended utk disinggahi bersama keluarga.",positif
109,"Lampu remang2 kurang terang, lampu tidur mati, saklar listrik ada yg mati, sinyal wifi nya jelek, sarung bantal yg 1 kain yg 1 kulit kaya buat sofa trs keras 😒 jadi g guna, bantal dempes, seprei kotor masih ada bekas2 pulau2 (gtw deh bekas …",positif
110,"Beberapa pengalaman kurang menyenangkan di hotel ini: (1) Ada live music si restoran lantai bawah yang suara masuk hingga ke kamar tidur, sehingga sangat menganggu; (2) Pengunjung dibiarkan merokok di dalam bangunan hotel, bahkan di area …",negatif
111,Harga lumayan murah. Kamar bersih. Kamar mandi bersih dan cukup luas. Tersedia 2 botol air minum tanpa alat pemanas. Tidak ada kopi/teh. Air panas tenaga surya tidak ada air panas kalo malam atau subuh.,positif
112,"Sy sdh dipesankan kamar utk 3 malam +extrabed. Yg paling membuat sy kecewa adalah ketika anak2 sy mau berenang di lt 5, dicegat sm si mba gendut, katanya harus byr. Hahhhh??? Baru kali ini sy menginap dihotel, pas mau renang di suruh byr. …",negatif
113,"Dari segi fasilitas kamar kurang memuaskan.  Lampunya ada yg padam, pencahayaan kamar temaram, untuk fasilitas air panasnya lama, sama banyak nyamuk.  Kl masalah makanan enak, cmn g ada menu yg menarik. Kolam renangnya luas tapi kotor dan banyak tomcatnya. Mohon ditingkatkan lagi pelayanannya.",positif
114,"Bagi traveler yang kebetulan sedang berkunjung ke kota yang memiliki jargon kota resik atau kota Tasikmalaya City Hotel bisa dijadikan rekomendasi untuk menginap. Selain fasilitas yang lumayan oke, pelayanan ramah dan yang pasti sih adem …",positif
115,"Harga tidak sesuai fasilitas, tidak ada teko pemanas air, kotor, restoran seperti warteg baik tempat dan menu, breakfast seadanya, jam 8 sudah habis dan tidak di refil ketika habis banyak tidak kebagian, 2 hari berturut turut menu breakfast ikan terus",negatif
116,"Hotel murah meriah, harga terjangkau kamar juga bersih. Masakan agak kurang berasa bumbunya",positif
117,"Sayang sekali karena lokasi sudah cukup bagus, hanya service nya saja masih sangat buruk, dari mulai front office yang tidak helpful jutek dan ingnorance, saya dapat kamar yang bau dan kasur nya bikin teman saya gatal gatal, ketika minta …",negatif
118,Tembok Kamarnya agak kotor,negatif
119,Hotel nyaman yg berada di tengah kota,positif
120,"Parkiran lumayan luas di sekeliling hotel, stafnya ramah tamah sopan santun, kamarnya biasa, kenapa cendelanya kok di taruh diatas ya??? Air panasnya juga kadang mati, sarapan pagi tamunya kurang di perhatikan ya, binggung cari tempat …",negatif
121,Karyawan hotel cukup ramah hanya sja tempat gym dan kolam renang tidak termasuk fasilitas hotel jd hrs bayar lg,positif
122,"Kamar gelap, makanan sungguh mengecewakan. Jm 8 sudah pada habis, hanya sisa nasgor + teh. Banyak yg kecewa disana. Malahan ditawari untuk pesan di cafe dg membayar. So untuk apa voucher sarapan pagi. Sumpah kecewa",negatif
123,"Kalau statusnya siih hotel bintang tiga, tapi kalau sudah bermalam tentu bs merasakan kualitas layanan & fasilitas hotel agak jauh. AC kamar tidak bisa di kontrol dan sudah nyala sejak masuk yang dampaknya ruang kamar panas/gerah. Chanel …",negatif
124,"Nyaman, view dari rooftop keren, sebagian besar kota tasik dapat di lihat dari sana. fasilitas lengkap, pelayanan baik, kemanan cukup, terdapat 1 lift, tersedia wifi",positif
125,"Resepsionis kurang ramah dan kurang menguasai tugas dan pekerjaannya. Kamar tidur dindingnya kotor dan kurang apik terkesan kusam. Kamar mandi sedikit bau.
Breakfastnyapun menunya tdk menggoda selera dgn menu seadanya kurang variasi menunya.",negatif
126,"Fasilitas nya banyak yang gak ok.
Koneksi WiFi gak ok.
Sama mungkin masih dalam tahap pembangunan jadi banyak yang gak bikin nyaman …",positif
127,Saya sangat kecewa dgn  hotel city. 1 air yg seharusnya fasilitas yg utama kadang2..sangat kotor sekali. Air panas apalagi...2.apa yg ada di iklan semuanya tidak terbukti. Tv  Hnya 2 chanel.Wifi jaringan nya jelek sekali..3.. Masakan …,negatif
128,Overall gue suka nginep di hotel ini. Harga murah. 250an K udah plus breakfast.  Fasilitas dapet semua. Komplit sampe ada pool n fitness center nya. Amenities pun dapet. Top 👍 …,positif
129,"Secara umum, fasilitasnya bagus. Kamar nyaman, bersih dan sangat luas, cocok untuk keluarga. Ada beberapa kamar yang ventilasinya kurang baik, membuat cahaya dari luar yang bisa masuk ke dalam ruang kamar, sangat minim. Sarapan enak, dan …",positif
130,Jeleeeekkk banget.saya pesan ditokopedie junior suit eh di down grade secara sepihak jadi deluxe dan saya harus membayar dengan harga yang sama dengan alesan tokopedie /booking.cok telat ngasih konfirmasi ke hotel pdhal ga mungkin …,negatif
131,"Pelayanan bagus, kamar bersih termasuk kamar mandi, nyaman, sarapan nya juga enak2",positif
132,"Tampilan luar ok lah, tp kmr bau apek, sprei ada bercak2 sprti bekas air, ac kurang dingin pdhl udh 18° C, kmr mndi bocor, air bau, kolam renang bagian dr fasilitas hotel, jd hrs bayar lg, di kolam renang bnyak tomcat, dasar kolam berlumut, jacuzi 5dk berfungsi dan kotor, sarapan terbatas",positif
133,"Expektasi dan realita tidak sebanding, di kamar temboknya berjamur dan kurang bersih, ac nya tidak dingin, ruangan kurang kedap suara sehingga suara dari lorong hotel maupun suara kendaraan cukup terdengar ke ruangan kamar dan cukup …",positif
134,4hari sudah syg kolam renang blm fungsi lg renopasi,negatif
135,"Kamar mandi bocor, basah banjir dr pertama datang, tidak ad teko listrik dan telepon di kamar, breakfast jam 8 habis tidak direfill, banyak yg tidak kebagian",positif
136,"air panas tidak ada tidak di kasih tau, tembok kamar cat berbelanja luntur, sinyal tv tidak bagus,  kamar mandi tidak sedia kan sikat gigi, bakal sarapan nya juga kurang enak telor pin limited aku jam 7 turun sudah tidak ada lagi, merasa kamar harga 550rb dapat fasilitas kayak gini NOT WORTH IT",positif
137,"Overall, harga tidak sesuai dengan layanan

Tidak ada pemanas air dan teh/kopi di kamar, tidak ada telpon untuk memesan …",negatif
138,"Mantaap, lokasi strategis di pusat kota, nyaman untuk isirahat atau tempat singgah, tarif bersaing.",positif
139,"Hotel yg cukup strategis, dekat ke pusat kota. Sarapannya cukup enak, namun kebersihan room'nya perlu ditingkatkan. Cek harga terbaik dari online travel agent aja.",positif
140,Salah satu hotel di Kota Tasikmalaya yang bisa dijadikan opsi untuk menginap. Harga terjangkau sehingga sering digunakan untuk berbagai macam pelatihan. Tapi sayang di kamar yg saya tempati air panas tidak berfungsi lalu tembok kamar …,negatif
141,"Kamar nya luas. Tapi terkesan agak gak terawat, kebersihan standar. Makanan sarapannya kurang variasi. Untuk rasa makanannya lumayan.. tadi sarapan makan nasi kuning uduk, tahu tempe dan ikan gurame...",positif
142,"Buat harga segini yaa lumayan aja, cuma klo buat sampo aja masa ga dikasih.... Cuma sabun cair , pasta & sikat gigi ... Klo hand body mah ga masalah yaa.... Keset dpn kamar mandi ga nyerap air.... Jd kamar ikutan becek 🙊, breakfast nya kurang enak 🙏 …",negatif
143,"Lokasi berada di pinggir jalan yang dilalui 2 mobil. Namun saya sedikit bingung saat pertama ke tempat ini karena landmarknya tidak cukup terlihat.
Pelayanan yang diberikan baik dan ramah. …",positif
